rowname,V1
start_date_t1,Start Date
duration_in_seconds_t1,Duration (in seconds)
age_t1,What is your age? - Age:
gender_numeric_t1,What is your gender? - Selected Choice
gender_text_t1,What is your gender? - self-identified: - Text
attentioncheck_1_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - Please choose the option 'C'. This is an attention check."
attentioncheck_2_t1,"Below is a list of statements. Please read each statement carefully and rate how strongly you agree or disagree with it by choosing your answer. There are no right or wrong answers, or trick questions.



Examples: - Please choose the option 'strongly agree'. This is an attention check."
sites_t1,To what extent does the following statement describe you: “I am an empathetic person”?
iri_1_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - I daydream and fantasize, with some regularity, about things that might happen to me."
iri_2_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - I often have tender, concerned feelings for people less fortunate than me."
iri_3_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - I sometimes find it difficult to see things from the ""other guy's"" point of view."
iri_4_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - Sometimes I don't feel very sorry for other people when they are having problems."
iri_5_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - I really get involved with the feelings of the characters in a novel."
iri_6_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - In emergency situations, I feel apprehensive and ill-at-ease."
iri_7_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - I am usually objective when I watch a movie or play, and I don't often get completely caught up in it."
iri_8_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - I try to look at everybody's side of a disagreement before I make a decision."
iri_9_t1,"The following statements inquire about your thoughts and feelings in a variety of
situations. For each item, indicate how well it describes you by choosing the appropriate
letter on the scale at the top of the page: A, B, C, D, or E. READ EACH ITEM CAREFULLY
BEFORE RESPONDING. Answer as honestly as you can. Thank you. - When I see someone being taken advantage of, I feel kind of protective towards them."
